TT,Ngành,Số dự án cấp mới,Vốn đăng ký cấp mới (triệu USD),Số lượt dự án điều chỉnh,Vốn đăng ký điều chỉnh (triệu USD),Số lượt góp vốn mua cổ phần,"Giá trị góp vốn, mua cổ phần (triệu USD)",Năm
56,"Nghệ thuật, vui chơi và giải trí",6,18.5,4,15.41,6,3.81,2017
57,Hoạt đông làm thuê các công việc trong các hộ gia đình,1,0.5,0,0.0,0,0.0,2017
58,"Công nghiệp chế biến, chế tạo",1065,9067.46,743,5093.78,1528,2426.8,2018
59,Hoạt động kinh doanh bất động sản,92,5216.78,31,727.44,147,671.11,2018
60,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",757,704.53,119,105.26,2829,2863.11,2018
61,"Hoạt động chuyên môn, khoa học công nghệ",386,183.37,88,144.05,584,1820.0,2018
62,"Sản xuất, phân phối điện, khí, nước, điều hòa",19,1631.33,2,3.65,0,0.0,2018
63,Xây dựng,114,217.67,38,26.74,255,938.66,2018
64,"Nghệ thuật, vui chơi và giải trí",7,6.2,1,1125.0,9,2.44,2018
65,Dịch vụ lưu trú và ăn uống,102,27.36,21,59.82,311,491.34,2018
66,Thông tin và truyền thông,243,273.72,47,90.8,321,196.36,2018
67,Vận tải kho bãi,73,206.47,24,52.9,131,146.16,2018
68,Cấp nước và xử lý chất thải,7,232.39,3,10.19,9,16.62,2018
69,Hoạt động hành chính và dịch vụ hỗ trợ,77,52.96,13,64.57,170,96.44,2018
70,"Nông nghiêp, lâm nghiệp và thủy sản",11,71.15,14,61.16,28,8.53,2018
71,Y tế và hoạt động trợ giúp xã hội,7,14.17,4,3.41,33,115.23,2018
72,Giáo dục và đào tạo,70,30.97,14,30.88,92,28.87,2018
73,"Hoạt động tài chính, ngân hàng và bảo hiểm",5,10.3,4,3.92,31,67.62,2018
74,Khai khoáng,2,25.4,0,0.0,0,0.0,2018
75,Hoạt động dịch vụ khác,9,3.95,3,0.38,18,3.43,2018
76,"Công nghiệp chế biến, chế tạo",1314,12093.14,861,5381.98,2261,7086.66,2019
77,Hoạt động kinh doanh bất động sản,123,1817.97,28,-693.73,397,2751.79,2019
78,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",1105,880.8,182,279.33,3292,1427.98,2019
79,"Hoạt động chuyên môn, khoa học công nghệ",493,330.26,104,144.79,1129,1091.52,2019
80,"Hoạt động tài chính, ngân hàng và bảo hiểm",12,11.55,2,191.97,39,968.34,2019
81,"Sản xuất, phân phối điện, khí, nước, điều hòa",15,722.6,2,-14.91,62,302.42,2019
82,Xây dựng,134,322.43,45,81.72,521,574.88,2019
83,Thông tin và truyền thông,302,85.37,61,195.37,557,255.86,2019
84,Dịch vụ lưu trú và ăn uống,103,39.05,23,37.99,710,411.85,2019
85,Vận tải kho bãi,100,122.38,24,56.73,285,166.95,2019
86,Cấp nước và xử lý chất thải,6,125.03,6,78.22,19,46.02,2019
87,Y tế và hoạt động trợ giúp xã hội,6,17.3,3,2.93,41,191.22,2019
88,Hoạt động hành chính và dịch vụ hỗ trợ,63,32.45,13,9.96,238,81.2,2019
89,"Nông nghiêp, lâm nghiệp và thủy sản",16,72.96,10,7.43,54,18.93,2019
90,Giáo dục và đào tạo,71,24.96,12,9.36,172,30.3,2019
91,"Nghệ thuật, vui chơi và giải trí",6,8.27,1,2.65,26,51.81,2019
92,Hoạt động dịch vụ khác,11,36.75,2,2.2,31,8.12,2019
93,Khai khoáng,2,1.9,2,28.03,8,5.66,2019
94,Hoạt đông làm thuê các công việc trong các hộ gia đình,1,0.43,0,0.0,0,0.0,2019
95,"Công nghiệp chế biến, chế tạo",800,7190.77,680,4593.86,1268,1816.46,2020
96,"Sản xuất, phân phối điện, khí, nước, điều hòa",20,5080.81,8,137.47,45,199.22,2020
97,Hoạt động kinh doanh bất động sản,70,987.41,32,1256.08,229,1941.46,2020
98,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",704,431.18,164,234.24,2264,980.21,2020
99,"Hoạt động chuyên môn, khoa học công nghệ",376,169.3,87,114.3,825,1062.96,2020
100,Vận tải kho bãi,59,169.23,19,43.17,155,399.53,2020
101,Xây dựng,79,237.24,29,78.89,233,243.72,2020
102,Dịch vụ lưu trú và ăn uống,57,106.13,15,27.72,399,207.62,2020
103,"Hoạt động tài chính, ngân hàng và bảo hiểm",6,0.29,3,14.77,24,271.78,2020
104,Thông tin và truyền thông,206,53.46,49,41.56,352,176.26,2020
105,"Nông nghiêp, lâm nghiệp và thủy sản",12,103.09,16,79.65,29,27.9,2020
106,Giáo dục và đào tạo,54,19.37,16,13.92,115,75.05,2020
107,Cấp nước và xử lý chất thải,4,64.42,0,0.0,12,23.59,2020
108,Hoạt động dịch vụ khác,4,3.42,7,36.74,18,3.61,2020
109,Hoạt động hành chính và dịch vụ hỗ trợ,56,20.01,9,2.14,130,18.23,2020
110,Y tế và hoạt động trợ giúp xã hội,9,4.49,4,12.66,27,15.42,2020
111,Khai khoáng,1,0.41,1,0.68,12,5.28,2020
112,"Nghệ thuật, vui chơi và giải trí",5,2.68,1,1.6,4,0.88,2020
113,Hoạt đông làm thuê các công việc trong các hộ gia đình,1,2.7,0,0.0,0,0.0,2020
114,"Công nghiệp chế biến, chế tạo",533,7251.98,612,7346.3,650,3522.6,2021
115,"Sản xuất, phân phối điện, khí, nước, điều hòa",23,5316.16,12,261.0,29,134.6,2021
116,Hoạt động kinh doanh bất động sản,57,1390.03,29,246.66,120,1000.73,2021
117,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",488,293.79,130,416.58,1338,693.64,2021
118,"Hoạt động chuyên môn, khoa học công nghệ",291,143.31,87,276.55,620,604.12,2021
119,Vận tải kho bãi,53,426.37,14,40.47,118,316.96,2021
120,Xây dựng,28,58.6,12,226.6,119,172.08,2021
121,Thông tin và truyền thông,156,226.05,25,52.44,268,125.9,2021
122,Dịch vụ lưu trú và ăn uống,23,41.59,15,21.44,322,104.57,2021
123,"Nông nghiêp, lâm nghiệp và thủy sản",15,59.97,13,61.38,30,35.43,2021
124,Cấp nước và xử lý chất thải,2,7.2,1,4.71,10,105.02,2021
125,"Hoạt động tài chính, ngân hàng và bảo hiểm",1,4.5,1,30.47,21,24.66,2021
126,Giáo dục và đào tạo,27,12.64,14,17.3,55,21.14,2021
127,Hoạt động hành chính và dịch vụ hỗ trợ,38,11.83,14,11.72,66,22.98,2021
128,Y tế và hoạt động trợ giúp xã hội,1,1.1,3,0.62,11,2.8,2021
129,Hoạt động dịch vụ khác,1,0.15,2,0.4,9,3.05,2021
130,"Nghệ thuật, vui chơi và giải trí",1,0.13,0,0.0,7,1.55,2021
131,Khai khoáng,0,0.0,1,0.14,4,1.34,2021
132,"Công nghiệp chế biến, chế tạo",511,7213.0,644,7977.9,471,1611.06,2022
133,Hoạt động kinh doanh bất động sản,75,1816.0,37,1059.28,103,1576.55,2022
134,"Sản xuất, phân phối điện, khí, nước, điều hòa",11,2101.0,6,70.74,17,89.97,2022
135,"Hoạt động chuyên môn, khoa học công nghệ",331,249.0,106,172.43,603,867.9,2022
136,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",611,318.0,151,297.36,1417,394.85,2022
137,Thông tin và truyền thông,241,183.0,52,310.73,305,161.64,2022
138,Vận tải kho bãi,72,356.0,16,46.78,133,35.81,2022
139,Giáo dục và đào tạo,36,12.0,16,136.78,51,104.7,2022
140,Xây dựng,32,94.0,23,35.54,77,117.9,2022
141,"Nông nghiêp, lâm nghiệp và thủy sản",12,30.0,5,11.67,16,26.7,2022
142,Hoạt động hành chính và dịch vụ hỗ trợ,54,24.0,22,12.5,70,27.65,2022
143,"Hoạt động tài chính, ngân hàng và bảo hiểm",8,29.0,1,24.69,13,3.81,2022
144,Cấp nước và xử lý chất thải,3,2.0,1,16.0,7,39.44,2022
145,Y tế và hoạt động trợ giúp xã hội,2,10.0,4,1.71,11,9.02,2022
146,Khai khoáng,1,2.0,0,0.0,3,17.09,2022
147,Dịch vụ lưu trú và ăn uống,33,8.0,18,59.82,240,63.71,2022
148,Hoạt động dịch vụ khác,2,0.0,4,3.37,17,2.24,2022
149,"Nghệ thuật, vui chơi và giải trí",1,0.0,1,0.15,11,3.5,2022
150,Hoạt đông làm thuê các công việc trong các hộ gia đình,0,0.0,0,0.0,1,0.55,2022
